"","country","continent","year","lifeExp","pop","gdpPercap","Diabetes_prevalance_2015"
"1","Afghanistan","Asia",1952,28.801,8425333,779.4453145,8.8
"2","Afghanistan","Asia",1957,30.332,9240934,820.8530296,8.8
"3","Afghanistan","Asia",1962,31.997,10267083,853.10071,8.8
"4","Afghanistan","Asia",1967,34.02,11537966,836.1971382,8.8
"5","Afghanistan","Asia",1972,36.088,13079460,739.9811058,8.8
"6","Afghanistan","Asia",1977,38.438,14880372,786.11336,8.8
"7","Afghanistan","Asia",1982,39.854,12881816,978.0114388,8.8
"8","Afghanistan","Asia",1987,40.822,13867957,852.3959448,8.8
"9","Afghanistan","Asia",1992,41.674,16317921,649.3413952,8.8
"10","Afghanistan","Asia",1997,41.763,22227415,635.341351,8.8
"11","Afghanistan","Asia",2002,42.129,25268405,726.7340548,8.8
"12","Afghanistan","Asia",2007,43.828,31889923,974.5803384,8.8
"13","Albania","Europe",1952,55.23,1282697,1601.056136,10.3
"14","Albania","Europe",1957,59.28,1476505,1942.284244,10.3
"15","Albania","Europe",1962,64.82,1728137,2312.888958,10.3
"16","Albania","Europe",1967,66.22,1984060,2760.196931,10.3
"17","Albania","Europe",1972,67.69,2263554,3313.422188,10.3
"18","Albania","Europe",1977,68.93,2509048,3533.00391,10.3
"19","Albania","Europe",1982,70.42,2780097,3630.880722,10.3
"20","Albania","Europe",1987,72,3075321,3738.932735,10.3
"21","Albania","Europe",1992,71.581,3326498,2497.437901,10.3
"22","Albania","Europe",1997,72.95,3428038,3193.054604,10.3
"23","Albania","Europe",2002,75.651,3508512,4604.211737,10.3
"24","Albania","Europe",2007,76.423,3600523,5937.029526,10.3
"25","Algeria","Africa",1952,43.077,9279525,2449.008185,7.5
"26","Algeria","Africa",1957,45.685,10270856,3013.976023,7.5
"27","Algeria","Africa",1962,48.303,11000948,2550.81688,7.5
"28","Algeria","Africa",1967,51.407,12760499,3246.991771,7.5
"29","Algeria","Africa",1972,54.518,14760787,4182.663766,7.5
"30","Algeria","Africa",1977,58.014,17152804,4910.416756,7.5
"31","Algeria","Africa",1982,61.368,20033753,5745.160213,7.5
"32","Algeria","Africa",1987,65.799,23254956,5681.358539,7.5
"33","Algeria","Africa",1992,67.744,26298373,5023.216647,7.5
"34","Algeria","Africa",1997,69.152,29072015,4797.295051,7.5
"35","Algeria","Africa",2002,70.994,31287142,5288.040382,7.5
"36","Algeria","Africa",2007,72.301,33333216,6223.367465,7.5
"37","Angola","Africa",1952,30.015,4232095,3520.610273,4.1
"38","Angola","Africa",1957,31.999,4561361,3827.940465,4.1
"39","Angola","Africa",1962,34,4826015,4269.276742,4.1
"40","Angola","Africa",1967,35.985,5247469,5522.776375,4.1
"41","Angola","Africa",1972,37.928,5894858,5473.288005,4.1
"42","Angola","Africa",1977,39.483,6162675,3008.647355,4.1
"43","Angola","Africa",1982,39.942,7016384,2756.953672,4.1
"44","Angola","Africa",1987,39.906,7874230,2430.208311,4.1
"45","Angola","Africa",1992,40.647,8735988,2627.845685,4.1
"46","Angola","Africa",1997,40.963,9875024,2277.140884,4.1
"47","Angola","Africa",2002,41.003,10866106,2773.287312,4.1
"48","Angola","Africa",2007,42.731,12420476,4797.231267,4.1
"49","Argentina","Americas",1952,62.485,17876956,5911.315053,6
"50","Argentina","Americas",1957,64.399,19610538,6856.856212,6
"51","Argentina","Americas",1962,65.142,21283783,7133.166023,6
"52","Argentina","Americas",1967,65.634,22934225,8052.953021,6
"53","Argentina","Americas",1972,67.065,24779799,9443.038526,6
"54","Argentina","Americas",1977,68.481,26983828,10079.02674,6
"55","Argentina","Americas",1982,69.942,29341374,8997.897412,6
"56","Argentina","Americas",1987,70.774,31620918,9139.671389,6
"57","Argentina","Americas",1992,71.868,33958947,9308.41871,6
"58","Argentina","Americas",1997,73.275,36203463,10967.28195,6
"59","Argentina","Americas",2002,74.34,38331121,8797.640716,6
"60","Argentina","Americas",2007,75.32,40301927,12779.37964,6
"61","Austria","Europe",1952,66.8,6927772,6137.076492,6.9
"62","Austria","Europe",1957,67.48,6965860,8842.59803,6.9
"63","Austria","Europe",1962,69.54,7129864,10750.72111,6.9
"64","Austria","Europe",1967,70.14,7376998,12834.6024,6.9
"65","Austria","Europe",1972,70.63,7544201,16661.6256,6.9
"66","Austria","Europe",1977,72.17,7568430,19749.4223,6.9
"67","Austria","Europe",1982,73.18,7574613,21597.08362,6.9
"68","Austria","Europe",1987,74.94,7578903,23687.82607,6.9
"69","Austria","Europe",1992,76.04,7914969,27042.01868,6.9
"70","Austria","Europe",1997,77.51,8069876,29095.92066,6.9
"71","Austria","Europe",2002,78.98,8148312,32417.60769,6.9
"72","Austria","Europe",2007,79.829,8199783,36126.4927,6.9
"73","Bahrain","Asia",1952,50.939,120447,9867.084765,19.6
"74","Bahrain","Asia",1957,53.832,138655,11635.79945,19.6
"75","Bahrain","Asia",1962,56.923,171863,12753.27514,19.6
"76","Bahrain","Asia",1967,59.923,202182,14804.6727,19.6
