country	sex	year	BMI
Afghanistan	male	1980	21.48678
Albania	male	1980	25.22533
Algeria	male	1980	22.25703
Andorra	male	1980	25.66652
Angola	male	1980	20.94876
Antigua and Barbuda	male	1980	23.31424
Argentina	male	1980	25.37913
Armenia	male	1980	23.82469
Australia	male	1980	24.92729
Austria	male	1980	24.84097
Azerbaijan	male	1980	24.49375
Bahamas	male	1980	24.21064
Bahrain	male	1980	23.97588
Bangladesh	male	1980	20.51918
Barbados	male	1980	24.36372
Belarus	male	1980	24.90898
Belgium	male	1980	25.09879
Belize	male	1980	24.54345
Benin	male	1980	20.80754
Bermuda	male	1980	25.07881
Bhutan	male	1980	21.81929
Bolivia	male	1980	23.00319
Bosnia and Herzegovina	male	1980	25.32025
Botswana	male	1980	19.54182
Brazil	male	1980	22.63867
British Virgin Islands	male	1980	23.74249
Brunei	male	1980	23.23982
Bulgaria	male	1980	25.28913
Burkina Faso	male	1980	20.03144
Burundi	male	1980	21.08872
Cambodia	male	1980	19.69966
Cameroon	male	1980	21.78602
Canada	male	1980	25.24074
Cape Verde	male	1980	20.65607
Central African Rep.	male	1980	20.95858
Chad	male	1980	20.22551
Chile	male	1980	24.48362
China	male	1980	21.5784
Colombia	male	1980	22.07035
Comoros	male	1980	20.98163
Congo, Dem. Rep.	male	1980	20.74786
Congo, Rep.	male	1980	20.63666
Cook Islands	male	1980	26.2025
Costa Rica	male	1980	23.6937
Cote d'Ivoire	male	1980	21.12741
Croatia	male	1980	25.28752
Cuba	male	1980	22.73085
Cyprus	male	1980	25.33529
Czech Rep.	male	1980	26.30589
Denmark	male	1980	24.5632
Djibouti	male	1980	21.23864
Dominica	male	1980	22.319
Dominican Rep.	male	1980	22.92812
Ecuador	male	1980	23.79064
Egypt	male	1980	24.25654
El Salvador	male	1980	23.77156
Equatorial Guinea	male	1980	21.0889
Eritrea	male	1980	20.01453
Estonia	male	1980	24.68737
Ethiopia	male	1980	19.47815
Fiji	male	1980	22.28238
Finland	male	1980	25.46078
France	male	1980	24.70702
French Polynesia	male	1980	25.41759
Gabon	male	1980	22.27217
Gambia	male	1980	19.94139
Georgia	male	1980	24.61762
Germany	male	1980	25.46227
Ghana	male	1980	21.01212
Greece	male	1980	24.80837
Greenland	male	1980	24.46978
Grenada	male	1980	23.27113
Guatemala	male	1980	23.18719
Guinea	male	1980	21.14949
Guinea-Bissau	male	1980	20.71293
Guyana	male	1980	22.71432
Haiti	male	1980	22.90655
Honduras	male	1980	23.13391
Hong Kong, China	male	1980	21.63375
Hungary	male	1980	25.28424
Iceland	male	1980	24.82734
India	male	1980	21.09132
Indonesia	male	1980	19.85723
Iran	male	1980	23.16184
Iraq	male	1980	24.98391
Ireland	male	1980	25.80942
Israel	male	1980	24.76857
Italy	male	1980	25.4106
Jamaica	male	1980	22.33166
Japan	male	1980	22.1008
Jordan	male	1980	24.65223
Kazakhstan	male	1980	24.5736
Kenya	male	1980	20.31468
Kiribati	male	1980	25.48169
Korea, Dem. Rep.	male	1980	21.79468
Korea, Rep.	male	1980	22.06965
Kuwait	male	1980	25.49319
Kyrgyzstan	male	1980	24.3643
Laos	male	1980	19.59954
Latvia	male	1980	25.12425
Lebanon	male	1980	23.8802
Lesotho	male	1980	20.5766
Liberia	male	1980	21.12546
Libya	male	1980	24.39546
Lithuania	male	1980	25.9996
Luxembourg	male	1980	24.99432
Macao, China	male	1980	22.65022
Macedonia, FYR	male	1980	25.39905
Madagascar	male	1980	20.6969
Malawi	male	1980	20.79355
Malaysia	male	1980	21.58003
Maldives	male	1980	20.44454
Mali	male	1980	20.28129
Malta	male	1980	25.70377
Marshall Islands	male	1980	24.66611
Mauritania	male	1980	20.85381
Mauritius	male	1980	21.98902
Mexico	male	1980	24.45367
Micronesia, Fed. Sts.	male	1980	24.40224
Moldova	male	1980	24.73103
Mongolia	male	1980	23.4988
Montenegro	male	1980	25.502
Morocco	male	1980	23.2176
Mozambique	male	1980	20.43321
Myanmar	male	1980	19.66279
Namibia	male	1980	21.08291
Nauru	male	1980	28.12449
Nepal	male	1980	20.9636
Netherlands	male	1980	24.12897
Netherlands Antilles	male	1980	24.61514
New Zealand	male	1980	25.26155
Nicaragua	male	1980	24.02412
Niger	male	1980	20.52134
Nigeria	male	1980	21.00792
Norway	male	1980	24.68457
Oman	male	1980	23.03985
Pakistan	male	1980	21.53642
Palau	male	1980	25.42376
Panama	male	1980	23.52611
Papua New Guinea	male	1980	21.76194
Paraguay	male	1980	23.40858
Peru	male	1980	23.03994
Philippines	male	1980	21.21647
Poland	male	1980	25.14062
Portugal	male	1980	25.04993
Puerto Rico	male	1980	24.80369
Qatar	male	1980	24.96196
Romania	male	1980	24.67017
Russia	male	1980	25.0043
Rwanda	male	1980	21.61922
Saint Kitts and Nevis	male	1980	25.261
Saint Lucia	male	1980	22.82916
Saint Vincent and the Grenadines	male	1980	23.06618
Samoa	male	1980	25.83472
Sao Tome and Principe	male	1980	21.27399
Saudi Arabia	male	1980	25.025
Senegal	male	1980	20.267
Serbia	male	1980	25.6038
Seychelles	male	1980	22.15891
Sierra Leone	male	1980	21.36041
Singapore	male	1980	22.56816
Slovak Republic	male	1980	25.54614
Slovenia	male	1980	25.69628
Solomon Islands	male	1980	23.98967
Somalia	male	1980	20.92911
South Africa	male	1980	23.13811
Spain	male	1980	25.34477
Sri Lanka	male	1980	20.38152
Sudan	male	1980	20.71915
Suriname	male	1980	23.29584
Swaziland	male	1980	21.41393
Sweden	male	1980	24.71797
Switzerland	male	1980	25.15845
Syria	male	1980	24.34752
Taiwan	male	1980	22.40238
Tajikistan	male	1980	24.19187
Tanzania	male	1980	21.27393
Thailand	male	1980	20.26858
Timor-Leste	male	1980	19.92875
Togo	male	1980	20.90726
Tonga	male	1980	26.38245
Trinidad and Tobago	male	1980	24.81322
Tunisia	male	1980	22.19206
Turkey	male	1980	23.66064
Turkmenistan	male	1980	24.36178
Uganda	male	1980	21.26771
Ukraine	male	1980	24.91605
United Arab Emirates	male	1980	24.88388
United Kingdom	male	1980	24.72216
United States	male	1980	25.46406
Uruguay	male	1980	24.24001
Uzbekistan	male	1980	24.565
Vanuatu	male	1980	23.20701
Venezuela	male	1980	24.58052
Vietnam	male	1980	19.01394
West Bank and Gaza	male	1980	24.31624
Yemen, Rep.	male	1980	22.90384
Zambia	male	1980	19.66295
Zimbabwe	male	1980	21.46989
Afghanistan	male	1981	21.46552
Albania	male	1981	25.23981
Algeria	male	1981	22.34745
Andorra	male	1981	25.70868
Angola	male	1981	20.94371
Antigua and Barbuda	male	1981	23.39054
Argentina	male	1981	25.44951
Armenia	male	1981	23.86401
Australia	male	1981	25.00216
Austria	male	1981	24.8811
Azerbaijan	male	1981	24.52584
Bahamas	male	1981	24.30814
Bahrain	male	1981	24.09045
Bangladesh	male	1981	20.47766
Barbados	male	1981	24.43455
Belarus	male	1981	24.90986
Belgium	male	1981	25.12474
Belize	male	1981	24.63418
Benin	male	1981	20.83999
Bermuda	male	1981	25.19625
Bhutan	male	1981	21.80187
Bolivia	male	1981	23.04351
Bosnia and Herzegovina	male	1981	25.33178
Botswana	male	1981	19.5797
Brazil	male	1981	22.72772
British Virgin Islands	male	1981	23.79803
Brunei	male	1981	23.27246
Bulgaria	male	1981	25.34139
Burkina Faso	male	1981	20.06225
Burundi	male	1981	21.11359
Cambodia	male	1981	19.70779
Cameroon	male	1981	21.86229
Canada	male	1981	25.33069
Cape Verde	male	1981	20.71493
Central African Rep.	male	1981	20.96244
Chad	male	1981	20.2271
Chile	male	1981	24.56329
China	male	1981	21.58356
Colombia	male	1981	22.1769
Comoros	male	1981	21.0066
Congo, Dem. Rep.	male	1981	20.73587
Congo, Rep.	male	1981	20.69499
Cook Islands	male	1981	26.43064
Costa Rica	male	1981	23.76567
Cote d'Ivoire	male	1981	21.18081
Croatia	male	1981	25.3169
Cuba	male	1981	22.80724
Cyprus	male	1981	25.37046
Czech Rep.	male	1981	26.35295
Denmark	male	1981	24.56873
Djibouti	male	1981	21.31928
Dominica	male	1981	22.38872
Dominican Rep.	male	1981	22.97861
Ecuador	male	1981	23.85029
Egypt	male	1981	24.34966
El Salvador	male	1981	23.83422
Equatorial Guinea	male	1981	21.10687
Eritrea	male	1981	20.04318
Estonia	male	1981	24.694210000000002
Ethiopia	male	1981	19.50485
Fiji	male	1981	22.43676
Finland	male	1981	25.4801
France	male	1981	24.73514
French Polynesia	male	1981	25.60073
Gabon	male	1981	22.32139
Gambia	male	1981	19.97059
Georgia	male	1981	24.66646
Germany	male	1981	25.50636
Ghana	male	1981	21.01867
Greece	male	1981	24.85004
Greenland	male	1981	24.52714
Grenada	male	1981	23.31463
Guatemala	male	1981	23.26498
Guinea	male	1981	21.1717
Guinea-Bissau	male	1981	20.72467
Guyana	male	1981	22.73525
Haiti	male	1981	22.93626
Honduras	male	1981	23.1985
Hong Kong, China	male	1981	21.75267
Hungary	male	1981	25.35008
Iceland	male	1981	24.92462
India	male	1981	21.04581
Indonesia	male	1981	19.90366
Iran	male	1981	23.23424
Iraq	male	1981	25.07866
Ireland	male	1981	25.83961
Israel	male	1981	24.79572
Italy	male	1981	25.41417
Jamaica	male	1981	22.35883
Japan	male	1981	22.11807
Jordan	male	1981	24.77498
Kazakhstan	male	1981	24.61631
Kenya	male	1981	20.36356
Kiribati	male	1981	25.55256
Korea, Dem. Rep.	male	1981	21.84316
Korea, Rep.	male	1981	22.07588
Kuwait	male	1981	25.59347
Kyrgyzstan	male	1981	24.38836
Laos	male	1981	19.63955
Latvia	male	1981	25.14042
Lebanon	male	1981	23.98402
Lesotho	male	1981	20.59964
Liberia	male	1981	21.15314
Libya	male	1981	24.50966
Lithuania	male	1981	25.99385
Luxembourg	male	1981	25.03678
Macao, China	male	1981	22.75827
Macedonia, FYR	male	1981	25.42642
Madagascar	male	1981	20.71678
Malawi	male	1981	20.81847
Malaysia	male	1981	21.68427
Maldives	male	1981	20.5085
Mali	male	1981	20.30682
Malta	male	1981	25.75106
Marshall Islands	male	1981	24.82211
