country	continent	year	lifeExp	pop	gdpPercap	sex	BMI
Afghanistan	Asia	2007	43.828	31889923	974.5803384	male	20.60246
Afghanistan	Asia	2007	43.828	31889923	974.5803384	female	20.9906
Albania	Europe	2007	76.423	3600523	5937.029526	male	26.32753
Albania	Europe	2007	76.423	3600523	5937.029526	female	25.59394
Algeria	Africa	2007	72.301	33333216	6223.367465	male	24.48846
Algeria	Africa	2007	72.301	33333216	6223.367465	female	26.26096
Angola	Africa	2007	42.731	12420476	4797.231267	male	22.08962
Angola	Africa	2007	42.731	12420476	4797.231267	female	23.2633
Argentina	Americas	2007	75.32	40301927	12779.37964	male	27.38889
Argentina	Americas	2007	75.32	40301927	12779.37964	female	27.32608
Australia	Oceania	2007	81.235	20434176	34435.36744	male	27.45878
Australia	Oceania	2007	81.235	20434176	34435.36744	female	26.77919
Austria	Europe	2007	79.829	8199783	36126.4927	male	26.38136
Austria	Europe	2007	79.829	8199783	36126.4927	female	25.05064
Bahrain	Asia	2007	75.635	708573	29796.04834	male	27.68865
Bahrain	Asia	2007	75.635	708573	29796.04834	female	28.65919
Bangladesh	Asia	2007	64.062	150448339	1391.253792	male	20.35493
Bangladesh	Asia	2007	64.062	150448339	1391.253792	female	20.40963
Belgium	Europe	2007	79.441	10392226	33692.60508	male	26.67529
Belgium	Europe	2007	79.441	10392226	33692.60508	female	25.14489
Benin	Africa	2007	56.728	8078314	1441.284873	male	22.33366
Benin	Africa	2007	56.728	8078314	1441.284873	female	23.64577
Bolivia	Americas	2007	65.554	9119152	3822.137084	male	24.37227
Bolivia	Americas	2007	65.554	9119152	3822.137084	female	26.74182
Bosnia and Herzegovina	Europe	2007	74.852	4552198	7446.298803	male	26.49206
Bosnia and Herzegovina	Europe	2007	74.852	4552198	7446.298803	female	26.30453
Botswana	Africa	2007	50.728	1639131	12569.85177	male	21.98606
Botswana	Africa	2007	50.728	1639131	12569.85177	female	25.99615
Brazil	Americas	2007	72.39	190010647	9065.800825	male	25.63555
Brazil	Americas	2007	72.39	190010647	9065.800825	female	25.8801
Bulgaria	Europe	2007	73.005	7322858	10680.79282	male	26.42397
Bulgaria	Europe	2007	73.005	7322858	10680.79282	female	25.46587
Burkina Faso	Africa	2007	52.295	14326203	1217.032994	male	21.18575
Burkina Faso	Africa	2007	52.295	14326203	1217.032994	female	21.54789
Burundi	Africa	2007	49.58	8390505	430.0706916	male	21.45897
Burundi	Africa	2007	49.58	8390505	430.0706916	female	21.20367
Cambodia	Asia	2007	59.723	14131858	1713.778686	male	20.72057
Cambodia	Asia	2007	59.723	14131858	1713.778686	female	21.59359
Cameroon	Africa	2007	50.43	17696293	2042.09524	male	23.57521
Cameroon	Africa	2007	50.43	17696293	2042.09524	female	24.79912
Canada	Americas	2007	80.653	33390141	36319.23501	male	27.40416
Canada	Americas	2007	80.653	33390141	36319.23501	female	26.6421
Chad	Africa	2007	50.651	10238807	1704.063724	male	21.40464
Chad	Africa	2007	50.651	10238807	1704.063724	female	21.8377
Chile	Americas	2007	78.553	16284741	13171.63885	male	26.90237
Chile	Americas	2007	78.553	16284741	13171.63885	female	27.79856
China	Asia	2007	72.961	1318683096	4959.114854	male	22.86161
China	Asia	2007	72.961	1318683096	4959.114854	female	22.88607
Colombia	Americas	2007	72.889	44227550	7006.580419	male	24.82307
Colombia	Americas	2007	72.889	44227550	7006.580419	female	26.16262
Comoros	Africa	2007	65.152	710960	986.1478792	male	22.01198
Comoros	Africa	2007	65.152	710960	986.1478792	female	22.38153
Congo, Dem. Rep.	Africa	2007	46.462	64606759	277.5518587	male	19.8291
Congo, Dem. Rep.	Africa	2007	46.462	64606759	277.5518587	female	21.51727
Congo, Rep.	Africa	2007	55.322	3800610	3632.557798	male	21.79519
Congo, Rep.	Africa	2007	55.322	3800610	3632.557798	female	22.97
Costa Rica	Americas	2007	78.782	4133884	9645.06142	male	26.3565
Costa Rica	Americas	2007	78.782	4133884	9645.06142	female	26.90884
Cote d'Ivoire	Africa	2007	48.328	18013409	1544.750112	male	22.48889
Cote d'Ivoire	Africa	2007	48.328	18013409	1544.750112	female	23.71021
Croatia	Europe	2007	75.748	4493312	14619.22272	male	26.49896
Croatia	Europe	2007	75.748	4493312	14619.22272	female	25.12974
Cuba	Americas	2007	78.273	11416987	8948.102923	male	24.93192
Cuba	Americas	2007	78.273	11416987	8948.102923	female	26.45295
Denmark	Europe	2007	78.332	5468120	35278.41874	male	26.03329
Denmark	Europe	2007	78.332	5468120	35278.41874	female	25.0482
Djibouti	Africa	2007	54.791	496374	2082.481567	male	23.26892
Djibouti	Africa	2007	54.791	496374	2082.481567	female	24.28393
Ecuador	Americas	2007	74.994	13755680	6873.262326	male	25.49568
Ecuador	Americas	2007	74.994	13755680	6873.262326	female	26.9646
Egypt	Africa	2007	71.338	80264543	5581.180998	male	26.64671
Egypt	Africa	2007	71.338	80264543	5581.180998	female	29.95573
El Salvador	Americas	2007	71.878	6939688	5728.353514	male	26.24783
El Salvador	Americas	2007	71.878	6939688	5728.353514	female	27.67914
Equatorial Guinea	Africa	2007	51.579	551201	12154.08975	male	23.60238
Equatorial Guinea	Africa	2007	51.579	551201	12154.08975	female	24.34837
Eritrea	Africa	2007	58.04	4906585	641.3695236	male	20.86923
Eritrea	Africa	2007	58.04	4906585	641.3695236	female	20.9984
Ethiopia	Africa	2007	52.947	76511887	690.8055759	male	20.16319
Ethiopia	Africa	2007	52.947	76511887	690.8055759	female	20.61484
Finland	Europe	2007	79.313	5238460	33207.0844	male	26.64191
Finland	Europe	2007	79.313	5238460	33207.0844	female	25.55775
France	Europe	2007	80.657	61083916	30470.0167	male	25.79057
France	Europe	2007	80.657	61083916	30470.0167	female	24.82031
Gabon	Africa	2007	56.735	1454867	13206.48452	male	23.98256
Gabon	Africa	2007	56.735	1454867	13206.48452	female	25.76457
Gambia	Africa	2007	59.448	1688359	752.7497265	male	21.54302
Gambia	Africa	2007	59.448	1688359	752.7497265	female	24.61564
Germany	Europe	2007	79.406	82400996	32170.37442	male	27.0905
Germany	Europe	2007	79.406	82400996	32170.37442	female	25.70588
Ghana	Africa	2007	60.022	22873338	1327.60891	male	22.73069
Ghana	Africa	2007	60.022	22873338	1327.60891	female	24.19248
Greece	Europe	2007	79.483	10706290	27538.41188	male	26.25289
Greece	Europe	2007	79.483	10706290	27538.41188	female	24.89717
Guatemala	Americas	2007	70.259	12572928	5186.050003	male	25.20987
Guatemala	Americas	2007	70.259	12572928	5186.050003	female	26.69132
Guinea	Africa	2007	56.007	9947814	942.6542111	male	22.43725
Guinea	Africa	2007	56.007	9947814	942.6542111	female	22.36866
Guinea-Bissau	Africa	2007	46.388	1472041	579.231743	male	21.59109
Guinea-Bissau	Africa	2007	46.388	1472041	579.231743	female	22.83426
Haiti	Americas	2007	60.916	8502814	1201.637154	male	23.58323
Haiti	Americas	2007	60.916	8502814	1201.637154	female	23.16703
Honduras	Americas	2007	70.198	7483763	3548.330846	male	25.01546
Honduras	Americas	2007	70.198	7483763	3548.330846	female	26.59844
Hong Kong, China	Asia	2007	82.208	6980412	39724.97867	male	24.94447
Hong Kong, China	Asia	2007	82.208	6980412	39724.97867	female	23.65279
