country	female	male	BMI_sex_difference
Switzerland	24.06285	26.13979	2.0769400000000005
Italy	24.78988	26.40849	1.6186100000000003
Japan	21.88134	23.44693	1.5655899999999967
Belgium	25.14489	26.67529	1.5304000000000002
Germany	25.70588	27.0905	1.3846199999999982
Croatia	25.12974	26.49896	1.3692199999999985
Greece	24.89717	26.25289	1.3557200000000016
Taiwan	23.04753	24.38886	1.3413300000000028
Austria	25.05064	26.38136	1.3307199999999995
Hong Kong, China	23.65279	24.94447	1.2916799999999995
Sweden	25.12062	26.29358	1.1729599999999998
Norway	25.67953	26.83126	1.1517300000000006
Iceland	25.95056	27.09734	1.1467799999999997
Spain	26.27577	27.39562	1.1198499999999996
Hungary	25.9238	27.00873	1.08493
Finland	25.55775	26.64191	1.0841600000000007
Ireland	26.55051	27.57676	1.026250000000001
Denmark	25.0482	26.03329	0.9850899999999996
France	24.82031	25.79057	0.9702599999999997
Bulgaria	25.46587	26.42397	0.9581000000000017
Singapore	22.93832	23.83205	0.8937299999999979
Serbia	25.60437	26.42002	0.8156500000000015
Montenegro	25.6336	26.44582	0.8122199999999999
Slovenia	26.55853	27.35064	0.7921099999999974
Korea, Dem. Rep.	21.24866	22.01135	0.7626899999999992
Canada	26.6421	27.40416	0.7620600000000017
Albania	25.59394	26.32753	0.7335899999999995
Poland	25.89025	26.57013	0.6798799999999972
Australia	26.77919	27.45878	0.679590000000001
Korea, Rep.	23.27995	23.92079	0.6408400000000007
Madagascar	20.72133	21.3437	0.6223700000000001
Slovak Republic	26.27675	26.82124	0.5444899999999997
Netherlands	25.41349	25.9188	0.5053100000000015
Portugal	26.14834	26.6081	0.4597599999999993
Rwanda	21.99589	22.4516	0.45570999999999984
United Kingdom	26.85908	27.29918	0.44010000000000105
Haiti	23.16703	23.58323	0.4161999999999999
New Zealand	27.26653	27.64444	0.37790999999999997
Burundi	21.20367	21.45897	0.25530000000000186
Bosnia and Herzegovina	26.30453	26.49206	0.18752999999999886
Nepal	20.63135	20.74963	0.11827999999999861
United States	28.25992	28.37574	0.11581999999999937
Romania	25.18177	25.28747	0.1056999999999988
Guinea	22.36866	22.43725	0.06859000000000037
Argentina	27.32608	27.38889	0.06280999999999892
China	22.88607	22.86161	-0.02446000000000126
Bangladesh	20.40963	20.35493	-0.054700000000000415
Uganda	22.39087	22.2968	-0.09406999999999854
Eritrea	20.9984	20.86923	-0.12916999999999845
Uruguay	26.45495	26.29256	-0.16238999999999848
Vietnam	20.9751	20.80189	-0.17321000000000097
Israel	27.20526	27.02232	-0.18293999999999855
Brazil	25.8801	25.63555	-0.24455000000000027
India	21.26588	20.93488	-0.3309999999999995
Burkina Faso	21.54789	21.18575	-0.36214000000000013
Comoros	22.38153	22.01198	-0.36955000000000027
Paraguay	25.80675	25.43538	-0.3713700000000024
Afghanistan	20.9906	20.60246	-0.38813999999999993
Chad	21.8377	21.40464	-0.4330600000000011
Ethiopia	20.61484	20.16319	-0.4516500000000008
Oman	26.61815	26.1214	-0.4967499999999987
Lebanon	27.61608	27.09268	-0.5233999999999988
Costa Rica	26.90884	26.3565	-0.5523400000000009
Philippines	23.3839	22.8007	-0.5832000000000015
Tanzania	22.98873	22.38359	-0.6051399999999987
Morocco	26.13153	25.52608	-0.6054500000000012
Venezuela	27.98427	27.30849	-0.6757799999999996
Somalia	22.58255	21.89742	-0.6851300000000009
Nigeria	23.60291	22.91228	-0.6906300000000023
Malaysia	25.34016	24.61322	-0.7269400000000026
Equatorial Guinea	24.34837	23.60238	-0.745989999999999
Niger	21.89981	21.14583	-0.7539799999999985
Sudan	23.04149	22.28084	-0.7606499999999983
Togo	22.62821	21.80899	-0.8192199999999978
Malawi	22.79075	21.92539	-0.865359999999999
Cambodia	21.59359	20.72057	-0.8730200000000004
Chile	27.79856	26.90237	-0.8961899999999972
Mongolia	25.61957	24.71713	-0.9024399999999986
Bahrain	28.65919	27.68865	-0.9705399999999997
Mauritius	26.0189	25.03885	-0.9800499999999985
Djibouti	24.28393	23.26892	-1.0150100000000002
Myanmar	22.33559	21.32024	-1.0153500000000015
Pakistan	23.37641	22.24841	-1.1280000000000001
Indonesia	22.8804	21.74807	-1.1323300000000032
Sri Lanka	23.04109	21.88625	-1.15484
Angola	23.2633	22.08962	-1.173680000000001
Congo, Rep.	22.97	21.79519	-1.1748099999999972
Mali	22.8879	21.69203	-1.1958699999999993
Cote d'Ivoire	23.71021	22.48889	-1.2213199999999986
Cameroon	24.79912	23.57521	-1.22391
Guinea-Bissau	22.83426	21.59109	-1.2431699999999992
Liberia	23.10815	21.84234	-1.2658099999999983
Peru	25.95748	24.67405	-1.2834299999999992
Mexico	28.6183	27.32899	-1.2893100000000004
Benin	23.64577	22.33366	-1.3121100000000006
Colombia	26.16262	24.82307	-1.3395499999999991
Sierra Leone	23.76172	22.41321	-1.348510000000001
Sao Tome and Principe	24.72319	23.37208	-1.3511099999999985
Mozambique	23.18072	21.8193	-1.3614200000000025
Thailand	24.31875	22.93186	-1.386890000000001
Panama	27.51489	26.12567	-1.3892200000000017
El Salvador	27.67914	26.24783	-1.4313099999999999
Ghana	24.19248	22.73069	-1.4617900000000006
Ecuador	26.9646	25.49568	-1.4689200000000007
Kenya	22.98678	21.51645	-1.4703300000000006
Guatemala	26.69132	25.20987	-1.4814500000000024
Cuba	26.45295	24.93192	-1.5210299999999997
Honduras	26.59844	25.01546	-1.5829799999999992
Turkey	28.18455	26.56181	-1.6227400000000003
Yemen, Rep.	26.01885	24.37949	-1.63936
Iraq	28.31717	26.64623	-1.6709400000000016
Congo, Dem. Rep.	21.51727	19.8291	-1.6881699999999995
Saudi Arabia	29.45772	27.7644	-1.69332
