continent	sex	term	estimate	std.error	statistic	p.value
Africa	female	(Intercept)	12.007310726221686	1.6651099818549222	7.211121701910415	3.492409080395387e-9
Africa	female	log10(gdpPercap)	3.6983250172231323	0.5083158497032507	7.275643715186482	2.7824932060184943e-9
Africa	male	(Intercept)	14.208564453714057	1.1176202835937978	12.713230658292346	5.598544330481449e-17
Africa	male	log10(gdpPercap)	2.568614212720336	0.34118112934960904	7.528594027509276	1.1436243877267666e-9
Americas	female	(Intercept)	17.647691484830297	2.4489009031202333	7.20637223921341	3.19609887268997e-7
Americas	female	log10(gdpPercap)	2.388127630140154	0.6218843996632626	3.840147190431655	8.899668325880898e-4
Americas	male	(Intercept)	14.130169571031477	1.9484846730304046	7.251876171576632	2.894512917224749e-7
Americas	male	log10(gdpPercap)	3.014610937925652	0.49480655570695814	6.0925040364885765	3.929764923075809e-6
Asia	female	(Intercept)	14.841151093414195	3.5340904184045696	4.1994259728403005	2.0923842987446834e-4
Asia	female	log10(gdpPercap)	2.588361079145926	0.92209301802346	2.8070498621648525	0.008568038017915112
Asia	male	(Intercept)	12.341867866727243	2.469107548699983	4.998513682899474	2.1569509665283192e-5
Asia	male	log10(gdpPercap)	3.0836044977372827	0.6442242732524907	4.786538827804655	3.956715332066844e-5
Europe	female	(Intercept)	29.38283864891669	2.4387574161532757	12.048282643569818	2.263717893200514e-12
Europe	female	log10(gdpPercap)	-0.8531342815904005	0.5614535367380019	-1.5195100320269408	0.140258826764329
Europe	male	(Intercept)	24.423672393435833	1.5792954168956908	15.464916906707497	6.1332629573956294e-15
Europe	male	log10(gdpPercap)	0.4958891058746548	0.36358720695099817	1.3638794115808575	0.18386870826329677
