country	continent	year	lifeExp	pop	gdpPercap	sex	BMI	pred
Afghanistan	Asia	2007	43.828	31889923	974.5803384	male	20.60246	22.650066336693694
Afghanistan	Asia	2007	43.828	31889923	974.5803384	female	20.9906	22.650066336693694
Albania	Europe	2007	76.423	3600523	5937.029526	male	26.32753	24.83167623881512
Albania	Europe	2007	76.423	3600523	5937.029526	female	25.59394	24.83167623881512
Algeria	Africa	2007	72.301	33333216	6223.367465	male	24.48846	24.888544590324308
Algeria	Africa	2007	72.301	33333216	6223.367465	female	26.26096	24.888544590324308
Angola	Africa	2007	42.731	12420476	4797.231267	male	22.08962	24.57430779547958
Angola	Africa	2007	42.731	12420476	4797.231267	female	23.2633	24.57430779547958
Argentina	Americas	2007	75.32	40301927	12779.37964	male	27.38889	25.75725124065223
Argentina	Americas	2007	75.32	40301927	12779.37964	female	27.32608	25.75725124065223
Austria	Europe	2007	79.829	8199783	36126.4927	male	26.38136	27.011910120063504
Austria	Europe	2007	79.829	8199783	36126.4927	female	25.05064	27.011910120063504
Bahrain	Asia	2007	75.635	708573	29796.04834	male	27.68865	26.77931543814793
Bahrain	Asia	2007	75.635	708573	29796.04834	female	28.65919	26.77931543814793
Bangladesh	Asia	2007	64.062	150448339	1391.253792	male	20.35493	23.079823075538165
Bangladesh	Asia	2007	64.062	150448339	1391.253792	female	20.40963	23.079823075538165
Belgium	Europe	2007	79.441	10392226	33692.60508	male	26.67529	26.92770053727056
Belgium	Europe	2007	79.441	10392226	33692.60508	female	25.14489	26.92770053727056
Benin	Africa	2007	56.728	8078314	1441.284873	male	22.33366	23.12247792596095
Benin	Africa	2007	56.728	8078314	1441.284873	female	23.64577	23.12247792596095
Bolivia	Americas	2007	65.554	9119152	3822.137084	male	24.37227	24.299965103790896
Bolivia	Americas	2007	65.554	9119152	3822.137084	female	26.74182	24.299965103790896
Bosnia and Herzegovina	Europe	2007	74.852	4552198	7446.298803	male	26.49206	25.105148385535216
Bosnia and Herzegovina	Europe	2007	74.852	4552198	7446.298803	female	26.30453	25.105148385535216
Botswana	Africa	2007	50.728	1639131	12569.85177	male	21.98606	25.73729190386174
Botswana	Africa	2007	50.728	1639131	12569.85177	female	25.99615	25.73729190386174
Brazil	Americas	2007	72.39	190010647	9065.800825	male	25.63555	25.342743130834926
Brazil	Americas	2007	72.39	190010647	9065.800825	female	25.8801	25.342743130834926
Bulgaria	Europe	2007	73.005	7322858	10680.79282	male	26.42397	25.540671724059763
Bulgaria	Europe	2007	73.005	7322858	10680.79282	female	25.46587	25.540671724059763
Burkina Faso	Africa	2007	52.295	14326203	1217.032994	male	21.18575	22.918293889723827
Burkina Faso	Africa	2007	52.295	14326203	1217.032994	female	21.54789	22.918293889723827
Burundi	Africa	2007	49.58	8390505	430.0706916	male	21.45897	21.6623938059588
Burundi	Africa	2007	49.58	8390505	430.0706916	female	21.20367	21.6623938059588
Cambodia	Asia	2007	59.723	14131858	1713.778686	male	20.72057	23.331547625604966
Cambodia	Asia	2007	59.723	14131858	1713.778686	female	21.59359	23.331547625604966
Cameroon	Africa	2007	50.43	17696293	2042.09524	male	23.57521	23.543164770506014
Cameroon	Africa	2007	50.43	17696293	2042.09524	female	24.79912	23.543164770506014
Canada	Americas	2007	80.653	33390141	36319.23501	male	27.40416	27.0183344009138
Canada	Americas	2007	80.653	33390141	36319.23501	female	26.6421	27.0183344009138
Chad	Africa	2007	50.651	10238807	1704.063724	male	21.40464	23.324684065281204
Chad	Africa	2007	50.651	10238807	1704.063724	female	21.8377	23.324684065281204
Chile	Americas	2007	78.553	16284741	13171.63885	male	26.90237	25.793752767745694
Chile	Americas	2007	78.553	16284741	13171.63885	female	27.79856	25.793752767745694
China	Asia	2007	72.961	1318683096	4959.114854	male	22.86161	24.61437736660882
China	Asia	2007	72.961	1318683096	4959.114854	female	22.88607	24.61437736660882
Colombia	Americas	2007	72.889	44227550	7006.580419	male	24.82307	25.03166087815637
Colombia	Americas	2007	72.889	44227550	7006.580419	female	26.16262	25.03166087815637
Comoros	Africa	2007	65.152	710960	986.1478792	male	22.01198	22.664312171149
Comoros	Africa	2007	65.152	710960	986.1478792	female	22.38153	22.664312171149
Congo, Dem. Rep.	Africa	2007	46.462	64606759	277.5518587	male	19.8291	21.133649604927673
Congo, Dem. Rep.	Africa	2007	46.462	64606759	277.5518587	female	21.51727	21.133649604927673
Congo, Rep.	Africa	2007	55.322	3800610	3632.557798	male	21.79519	24.23854452932898
Congo, Rep.	Africa	2007	55.322	3800610	3632.557798	female	22.97	24.23854452932898
Costa Rica	Americas	2007	78.782	4133884	9645.06142	male	26.3565	25.417521881117217
Costa Rica	Americas	2007	78.782	4133884	9645.06142	female	26.90884	25.417521881117217
Cote d'Ivoire	Africa	2007	48.328	18013409	1544.750112	male	22.48889	23.206179318357027
Cote d'Ivoire	Africa	2007	48.328	18013409	1544.750112	female	23.71021	23.206179318357027
Croatia	Europe	2007	75.748	4493312	14619.22272	male	26.49896	25.91964362123363
Croatia	Europe	2007	75.748	4493312	14619.22272	female	25.12974	25.91964362123363
Cuba	Americas	2007	78.273	11416987	8948.102923	male	24.93192	25.326966063565123
Cuba	Americas	2007	78.273	11416987	8948.102923	female	26.45295	25.326966063565123
Denmark	Europe	2007	78.332	5468120	35278.41874	male	26.03329	26.983229715092243
Denmark	Europe	2007	78.332	5468120	35278.41874	female	25.0482	26.983229715092243
Djibouti	Africa	2007	54.791	496374	2082.481567	male	23.26892	23.566809157320723
Djibouti	Africa	2007	54.791	496374	2082.481567	female	24.28393	23.566809157320723
Ecuador	Americas	2007	74.994	13755680	6873.262326	male	25.49568	25.008466799953027
Ecuador	Americas	2007	74.994	13755680	6873.262326	female	26.9646	25.008466799953027
Egypt	Africa	2007	71.338	80264543	5581.180998	male	26.64671	24.75705239671892
Egypt	Africa	2007	71.338	80264543	5581.180998	female	29.95573	24.75705239671892
El Salvador	Americas	2007	71.878	6939688	5728.353514	male	26.24783	24.788476704110558
El Salvador	Americas	2007	71.878	6939688	5728.353514	female	27.67914	24.788476704110558
Equatorial Guinea	Africa	2007	51.579	551201	12154.08975	male	23.60238	25.696682439430624
Equatorial Guinea	Africa	2007	51.579	551201	12154.08975	female	24.34837	25.696682439430624
Eritrea	Africa	2007	58.04	4906585	641.3695236	male	20.86923	22.144914281395554
Eritrea	Africa	2007	58.04	4906585	641.3695236	female	20.9984	22.144914281395554
Ethiopia	Africa	2007	52.947	76511887	690.8055759	male	20.16319	22.234562395802403
Ethiopia	Africa	2007	52.947	76511887	690.8055759	female	20.61484	22.234562395802403
Finland	Europe	2007	79.313	5238460	33207.0844	male	26.64191	26.910175842223918
Finland	Europe	2007	79.313	5238460	33207.0844	female	25.55775	26.910175842223918
France	Europe	2007	80.657	61083916	30470.0167	male	25.79057	26.80632042637332
France	Europe	2007	80.657	61083916	30470.0167	female	24.82031	26.80632042637332
Gabon	Africa	2007	56.735	1454867	13206.48452	male	23.98256	25.796942574626343
Gabon	Africa	2007	56.735	1454867	13206.48452	female	25.76457	25.796942574626343
Gambia	Africa	2007	59.448	1688359	752.7497265	male	21.54302	22.33824188849037
Gambia	Africa	2007	59.448	1688359	752.7497265	female	24.61564	22.33824188849037
Germany	Europe	2007	79.406	82400996	32170.37442	male	27.0905	26.87188235982356
Germany	Europe	2007	79.406	82400996	32170.37442	female	25.70588	26.87188235982356
Ghana	Africa	2007	60.022	22873338	1327.60891	male	22.73069	23.02328841782895
Ghana	Africa	2007	60.022	22873338	1327.60891	female	24.19248	23.02328841782895
Greece	Europe	2007	79.483	10706290	27538.41188	male	26.25289	26.684184428309486
Greece	Europe	2007	79.483	10706290	27538.41188	female	24.89717	26.684184428309486
Guatemala	Americas	2007	70.259	12572928	5186.050003	male	25.20987	24.66839982239894
Guatemala	Americas	2007	70.259	12572928	5186.050003	female	26.69132	24.66839982239894
Guinea	Africa	2007	56.007	9947814	942.6542111	male	22.43725	22.609852977286934
Guinea	Africa	2007	56.007	9947814	942.6542111	female	22.36866	22.609852977286934
Guinea-Bissau	Africa	2007	46.388	1472041	579.231743	male	21.59109	22.021882666195822
Guinea-Bissau	Africa	2007	46.388	1472041	579.231743	female	22.83426	22.021882666195822
Haiti	Americas	2007	60.916	8502814	1201.637154	male	23.58323	22.90292325421671
Haiti	Americas	2007	60.916	8502814	1201.637154	female	23.16703	22.90292325421671
Honduras	Americas	2007	70.198	7483763	3548.330846	male	25.01546	24.210220696412286
Honduras	Americas	2007	70.198	7483763	3548.330846	female	26.59844	24.210220696412286
Hong Kong, China	Asia	2007	82.208	6980412	39724.97867	male	24.94447	27.126551433637452
Hong Kong, China	Asia	2007	82.208	6980412	39724.97867	female	23.65279	27.126551433637452
Hungary	Europe	2007	73.338	9956108	18008.94444	male	27.00873	26.171411537892986
Hungary	Europe	2007	73.338	9956108	18008.94444	female	25.9238	26.171411537892986
Iceland	Europe	2007	81.757	301931	36180.78919	male	27.09734	27.013723333858415
Iceland	Europe	2007	81.757	301931	36180.78919	female	25.95056	27.013723333858415
India	Asia	2007	64.698	1110396331	2452.210407	male	20.93488	23.764124059042494
India	Asia	2007	64.698	1110396331	2452.210407	female	21.26588	23.764124059042494
Indonesia	Asia	2007	70.65	223547000	3540.651564	male	21.74807	24.20760494721401
Indonesia	Asia	2007	70.65	223547000	3540.651564	female	22.8804	24.20760494721401
Iran	Asia	2007	70.964	69453570	11605.71449	male	25.24163	25.640941877757793
Iran	Asia	2007	70.964	69453570	11605.71449	female	27.04876	25.640941877757793
Iraq	Asia	2007	59.545	27499638	4471.061906	male	26.64623	24.489295450234764
Iraq	Asia	2007	59.545	27499638	4471.061906	female	28.31717	24.489295450234764
Ireland	Europe	2007	78.885	4109086	40675.99635	male	27.57676	27.155114625987785
Ireland	Europe	2007	78.885	4109086	40675.99635	female	26.55051	27.155114625987785
Israel	Asia	2007	80.745	6426679	25523.2771	male	27.02232	26.59243757815776
Israel	Asia	2007	80.745	6426679	25523.2771	female	27.20526	26.59243757815776
Italy	Europe	2007	80.546	58147733	28569.7197	male	26.40849	26.728572945111257
Italy	Europe	2007	80.546	58147733	28569.7197	female	24.78988	26.728572945111257
Jamaica	Americas	2007	72.567	2780132	7320.880262	male	23.91519	25.084639887317607
Jamaica	Americas	2007	72.567	2780132	7320.880262	female	27.1298	25.084639887317607
Japan	Asia	2007	82.603	127467972	31656.06806	male	23.44693	26.85242473300829
Japan	Asia	2007	82.603	127467972	31656.06806	female	21.88134	26.85242473300829
Jordan	Asia	2007	72.535	6053193	4519.461171	male	27.37429	24.502294667884403
Jordan	Asia	2007	72.535	6053193	4519.461171	female	29.20494	24.502294667884403
Kenya	Africa	2007	54.11	35610177	1463.249282	male	21.51645	23.140738336049104
Kenya	Africa	2007	54.11	35610177	1463.249282	female	22.98678	23.140738336049104
Korea, Dem. Rep.	Asia	2007	67.297	23301725	1593.06548	male	22.01135	23.243362916658178
Korea, Dem. Rep.	Asia	2007	67.297	23301725	1593.06548	female	21.24866	23.243362916658178
Korea, Rep.	Asia	2007	78.623	49044790	23348.13973	male	23.92079	26.4848956087569
Korea, Rep.	Asia	2007	78.623	49044790	23348.13973	female	23.27995	26.4848956087569
Kuwait	Asia	2007	77.588	2505559	47306.98978	male	29.003	27.337446850447918
Kuwait	Asia	2007	77.588	2505559	47306.98978	female	31.01442	27.337446850447918
Lebanon	Asia	2007	71.993	3921278	10461.05868	male	27.09268	25.515574287084586
Lebanon	Asia	2007	71.993	3921278	10461.05868	female	27.61608	25.515574287084586
Lesotho	Africa	2007	42.592	2012649	1569.331442	male	21.76567	23.22524022828692
Lesotho	Africa	2007	42.592	2012649	1569.331442	female	26.69811	23.22524022828692
Liberia	Africa	2007	45.678	3193942	414.5073415	male	21.84234	21.61789260987817
Liberia	Africa	2007	45.678	3193942	414.5073415	female	23.10815	21.61789260987817
Libya	Africa	2007	73.952	6036914	12057.49928	male	26.44751	25.687049196700414
Libya	Africa	2007	73.952	6036914	12057.49928	female	29.08073	25.687049196700414
Madagascar	Africa	2007	59.443	19167654	1044.770126	male	21.3437	22.734030977397246
Madagascar	Africa	2007	59.443	19167654	1044.770126	female	20.72133	22.734030977397246
Malawi	Africa	2007	48.303	13327079	759.3499101	male	21.92539	22.348781814918866
Malawi	Africa	2007	48.303	13327079	759.3499101	female	22.79075	22.348781814918866
Malaysia	Asia	2007	74.241	24821286	12451.6558	male	24.61322	25.725885423942515
Malaysia	Asia	2007	74.241	24821286	12451.6558	female	25.34016	25.725885423942515
Mali	Africa	2007	54.467	12031795	1042.581557	male	21.69203	22.731499208911284
Mali	Africa	2007	54.467	12031795	1042.581557	female	22.8879	22.731499208911284
Mauritania	Africa	2007	64.164	3270065	1803.151496	male	22.53522	23.392923033565985
Mauritania	Africa	2007	64.164	3270065	1803.151496	female	26.13082	23.392923033565985
Mauritius	Africa	2007	72.801	1250882	10956.99112	male	25.03885	25.571495867989803
Mauritius	Africa	2007	72.801	1250882	10956.99112	female	26.0189	25.571495867989803
Mexico	Americas	2007	76.195	108700891	11977.57496	male	27.32899	25.679019589576882
Mexico	Americas	2007	76.195	108700891	11977.57496	female	28.6183	25.679019589576882
Mongolia	Asia	2007	66.803	2874127	3095.772271	male	24.71713	24.04549147447684
Mongolia	Asia	2007	66.803	2874127	3095.772271	female	25.61957	24.04549147447684
Montenegro	Europe	2007	74.543	684736	9253.896111	male	26.44582	25.367536417507004
Montenegro	Europe	2007	74.543	684736	9253.896111	female	25.6336	25.367536417507004
Morocco	Africa	2007	71.164	33757175	3820.17523	male	25.52608	24.299345233066568
Morocco	Africa	2007	71.164	33757175	3820.17523	female	26.13153	24.299345233066568
Mozambique	Africa	2007	42.082	19951656	823.6856205	male	21.8193	22.446970156937873
Mozambique	Africa	2007	42.082	19951656	823.6856205	female	23.18072	22.446970156937873
Myanmar	Asia	2007	62.069	47761980	944	male	21.32024	22.611575416562815
Myanmar	Asia	2007	62.069	47761980	944	female	22.33559	22.611575416562815
Namibia	Africa	2007	52.906	2055080	4811.060429	male	22.4987	24.577783230703297
Namibia	Africa	2007	52.906	2055080	4811.060429	female	25.02518	24.577783230703297
Nepal	Asia	2007	63.785	28901790	1091.359778	male	20.74963	22.78670420095356
Nepal	Asia	2007	63.785	28901790	1091.359778	female	20.63135	22.78670420095356
Netherlands	Europe	2007	79.762	16570613	36797.93332	male	25.9188	27.03414353013423
Netherlands	Europe	2007	79.762	16570613	36797.93332	female	25.41349	27.03414353013423
Nicaragua	Americas	2007	72.899	5675356	2749.320965	male	25.68266	23.902200335254044
Nicaragua	Americas	2007	72.899	5675356	2749.320965	female	27.44594	23.902200335254044
Niger	Africa	2007	56.867	12894865	619.6768924	male	21.14583	22.10337268161333
Niger	Africa	2007	56.867	12894865	619.6768924	female	21.89981	22.10337268161333
Nigeria	Africa	2007	46.859	135031164	2013.977305	male	22.91228	23.526425216634543
Nigeria	Africa	2007	46.859	135031164	2013.977305	female	23.60291	23.526425216634543
Norway	Europe	2007	80.196	4627926	49357.19017	male	26.83126	27.388668680240112
Norway	Europe	2007	80.196	4627926	49357.19017	female	25.67953	27.388668680240112
