country	continent	year	lifeExp	pop	gdpPercap	sex	BMI	pred
Algeria	Africa	2007	72.301	33333216	6223.367465	male	24.48846	23.95395213541195
Angola	Africa	2007	42.731	12420476	4797.231267	male	22.08962	23.663609368647847
Benin	Africa	2007	56.728	8078314	1441.284873	male	22.33366	22.322174157678702
Botswana	Africa	2007	50.728	1639131	12569.85177	male	21.98606	24.738162155813363
Burkina Faso	Africa	2007	52.295	14326203	1217.032994	male	21.18575	22.133515926107055
Burundi	Africa	2007	49.58	8390505	430.0706916	male	21.45897	20.97311233530609
Cameroon	Africa	2007	50.43	17696293	2042.09524	male	23.57521	22.710872694547458
Chad	Africa	2007	50.651	10238807	1704.063724	male	21.40464	22.50900488822997
Comoros	Africa	2007	65.152	710960	986.1478792	male	22.01198	21.898846542736607
Congo, Dem. Rep.	Africa	2007	46.462	64606759	277.5518587	male	19.8291	20.484572938404117
Congo, Rep.	Africa	2007	55.322	3800610	3632.557798	male	21.79519	23.353376966614572
Cote d'Ivoire	Africa	2007	48.328	18013409	1544.750112	male	22.48889	22.399511039447408
Djibouti	Africa	2007	54.791	496374	2082.481567	male	23.26892	22.73271920265487
Egypt	Africa	2007	71.338	80264543	5581.180998	male	26.64671	23.832458383166497
Equatorial Guinea	Africa	2007	51.579	551201	12154.08975	male	23.60238	24.700640565556675
Eritrea	Africa	2007	58.04	4906585	641.3695236	male	20.86923	21.418942779598467
Ethiopia	Africa	2007	52.947	76511887	690.8055759	male	20.16319	21.501774204813746
Gabon	Africa	2007	56.735	1454867	13206.48452	male	23.98256	24.793277091661942
Gambia	Africa	2007	59.448	1688359	752.7497265	male	21.54302	21.597570086319593
Ghana	Africa	2007	60.022	22873338	1327.60891	male	22.73069	22.230526849987548
Guinea	Africa	2007	56.007	9947814	942.6542111	male	22.43725	21.84852833277183
Guinea-Bissau	Africa	2007	46.388	1472041	579.231743	male	21.59109	21.305266277856536
Kenya	Africa	2007	54.11	35610177	1463.249282	male	21.51645	22.33904607743546
Lesotho	Africa	2007	42.592	2012649	1569.331442	male	21.76567	22.417122590407956
Liberia	Africa	2007	45.678	3193942	414.5073415	male	21.84234	20.93199493401403
Libya	Africa	2007	73.952	6036914	12057.49928	male	26.44751	24.691739818116893
Madagascar	Africa	2007	59.443	19167654	1044.770126	male	21.3437	21.963264050277726
Malawi	Africa	2007	48.303	13327079	759.3499101	male	21.92539	21.607308574780987
Mali	Africa	2007	54.467	12031795	1042.581557	male	21.69203	21.96092479313445
Mauritania	Africa	2007	64.164	3270065	1803.151496	male	22.53522	22.5720550821537
Mauritius	Africa	2007	72.801	1250882	10956.99112	male	25.03885	24.584972966758134
Morocco	Africa	2007	71.164	33757175	3820.17523	male	25.52608	23.409554488897086
Mozambique	Africa	2007	42.082	19951656	823.6856205	male	21.8193	21.69803084331693
Namibia	Africa	2007	52.906	2055080	4811.060429	male	22.4987	23.666820537725172
Niger	Africa	2007	56.867	12894865	619.6768924	male	21.14583	21.38055993196747
Nigeria	Africa	2007	46.859	135031164	2013.977305	male	22.91228	22.695405987703527
Rwanda	Africa	2007	46.242	8860588	863.0884639	male	22.4516	21.75015785703611
Sao Tome and Principe	Africa	2007	65.528	199579	1598.435089	male	23.37208	22.437620975906334
Senegal	Africa	2007	63.062	12267493	1712.472136	male	21.84124	22.514495769651298
Sierra Leone	Africa	2007	42.568	6144562	862.5407561	male	22.41321	21.74944972434752
Somalia	Africa	2007	48.159	9118773	926.1410683	male	21.89742	21.82881352713174
South Africa	Africa	2007	49.339	43997828	9269.657808	male	26.51022	24.39842066230803
Sudan	Africa	2007	58.556	42292929	2602.394995	male	22.28084	22.981340635577048
Swaziland	Africa	2007	39.613	1133066	4513.480643	male	23.05694	23.59559484953784
Tanzania	Africa	2007	52.517	38139640	1107.482182	male	22.38359	22.028291092156714
Togo	Africa	2007	58.42	5701579	882.9699438	male	21.80899	21.77556301499701
Tunisia	Africa	2007	73.923	10276158	7092.923025	male	25.03337	24.099848913221567
Uganda	Africa	2007	51.542	29170398	1056.380121	male	22.2968	21.97559204762568
Zambia	Africa	2007	42.384	11746035	1271.211593	male	20.5977	22.182102529322982
Zimbabwe	Africa	2007	43.487	12311143	469.7092981	male	21.97405	21.071462801158177
Algeria	Africa	2007	72.301	33333216	6223.367465	female	26.26096	26.03884994580381
Angola	Africa	2007	42.731	12420476	4797.231267	female	23.2633	25.620810556090923
Benin	Africa	2007	56.728	8078314	1441.284873	female	23.64577	23.689394240186836
Botswana	Africa	2007	50.728	1639131	12569.85177	female	25.99615	27.16796599711462
Burkina Faso	Africa	2007	52.295	14326203	1217.032994	female	21.54789	23.417761601049655
Burundi	Africa	2007	49.58	8390505	430.0706916	female	21.20367	21.746997027420004
Cameroon	Africa	2007	50.43	17696293	2042.09524	female	24.79912	24.24904758008536
Chad	Africa	2007	50.651	10238807	1704.063724	female	21.8377	23.958395618970012
